run_id,platform_id,workload,scenario,run_kind,benign_hours,false_alerts,detected,detection_delay_seconds,warning_episodes,confirmed_alert_episodes,full_tier_fraction
epyc_linux__video_sw__v2_independent_confirmation__f1,EPYC_LINUX,VIDEO_SW,NOMINAL,v2_failed_confirmation_development,1.05,0,False,,0,0,0.0
epyc_linux__video_sw__v3_independent_confirmation__f0,EPYC_LINUX,VIDEO_SW,NOMINAL,v3_failed_confirmation_development,1.05,0,False,,1,0,0.007692307692307693
epyc_linux__video_sw__v3_independent_confirmation__f1,EPYC_LINUX,VIDEO_SW,NOMINAL,v3_failed_confirmation_development,1.05,1,False,,1,1,0.007692307692307693
m2_macos__browser__atomic__r02,M2_MACOS,BROWSER,ATOMIC,required_matrix,0.0,0,True,177.48699837503955,1,1,0.041666666666666664
m2_macos__browser__branch__r02,M2_MACOS,BROWSER,BRANCH,required_matrix,0.0,0,True,217.48649087490048,1,1,0.041666666666666664
m2_macos__browser__cache__r02,M2_MACOS,BROWSER,CACHE,required_matrix,0.0,0,True,117.48708120803349,1,1,0.041666666666666664
m2_macos__browser__controlled_crash__r02,M2_MACOS,BROWSER,CONTROLLED_CRASH,required_matrix,0.0,0,False,,0,0,0.0
m2_macos__browser__membw__r02,M2_MACOS,BROWSER,MEMBW,required_matrix,0.0,0,True,157.48721554200165,1,1,0.041666666666666664
m2_macos__browser__telemetry_interruption__r02,M2_MACOS,BROWSER,TELEMETRY_INTERRUPTION,required_matrix,0.0,0,False,,0,0,0.0
m2_macos__browser__tlb__r02,M2_MACOS,BROWSER,TLB,required_matrix,0.0,0,True,177.49186216597445,1,1,0.041666666666666664
m2_macos__browser__v2_independent_confirmation__f0,M2_MACOS,BROWSER,NOMINAL,v2_failed_confirmation_development,1.05,1,False,,1,1,0.007692307692307693
m2_macos__browser__v2_independent_confirmation__f1,M2_MACOS,BROWSER,NOMINAL,v2_failed_confirmation_development,1.05,0,False,,0,0,0.0
m2_macos__browser__v3_independent_confirmation__f0,M2_MACOS,BROWSER,NOMINAL,v3_failed_confirmation_development,1.05,1,False,,1,1,0.007692307692307693
m2_macos__browser__v3_independent_confirmation__f1,M2_MACOS,BROWSER,NOMINAL,v3_failed_confirmation_development,1.05,1,False,,1,1,0.007692307692307693
m2_macos__py_ai__atomic__r02,M2_MACOS,PY_AI,ATOMIC,required_matrix,0.0,0,True,217.4860101249069,1,1,0.041666666666666664
m2_macos__py_ai__branch__r02,M2_MACOS,PY_AI,BRANCH,required_matrix,0.0,0,True,332.4862311669858,1,1,0.041666666666666664
m2_macos__py_ai__cache__r02,M2_MACOS,PY_AI,CACHE,required_matrix,0.0,0,True,227.49500075005926,1,1,0.041666666666666664
m2_macos__py_ai__controlled_crash__r02,M2_MACOS,PY_AI,CONTROLLED_CRASH,required_matrix,0.0,0,False,,0,0,0.0
m2_macos__py_ai__degradation_proxy__r02,M2_MACOS,PY_AI,DEGRADATION_PROXY,targeted_extension,0.0,0,False,,0,0,0.0
m2_macos__py_ai__membw__r02,M2_MACOS,PY_AI,MEMBW,required_matrix,0.0,0,False,,0,0,0.0
m2_macos__py_ai__power_shift__r02,M2_MACOS,PY_AI,POWER_SHIFT,targeted_extension,0.0,0,True,512.4958123329561,1,1,0.041666666666666664
m2_macos__py_ai__telemetry_interruption__r02,M2_MACOS,PY_AI,TELEMETRY_INTERRUPTION,required_matrix,0.0,0,False,,0,0,0.0
m2_macos__py_ai__thermal_shift__r02,M2_MACOS,PY_AI,THERMAL_SHIFT,targeted_extension,0.0,0,True,207.48716383299325,1,1,0.041666666666666664
m2_macos__py_ai__tlb__r02,M2_MACOS,PY_AI,TLB,required_matrix,0.0,0,True,327.48692991700955,1,1,0.041666666666666664
m2_macos__py_ai__v2_independent_confirmation__f0,M2_MACOS,PY_AI,NOMINAL,v2_failed_confirmation_development,1.05,0,False,,0,0,0.0
m2_macos__py_ai__v2_independent_confirmation__f1,M2_MACOS,PY_AI,NOMINAL,v2_failed_confirmation_development,1.05,0,False,,0,0,0.0
m2_macos__py_ai__v3_independent_confirmation__f0,M2_MACOS,PY_AI,NOMINAL,v3_failed_confirmation_development,1.05,0,False,,0,0,0.0
m2_macos__py_ai__v3_independent_confirmation__f1,M2_MACOS,PY_AI,NOMINAL,v3_failed_confirmation_development,1.05,0,False,,0,0,0.0
m2_macos__py_stats__atomic__r02,M2_MACOS,PY_STATS,ATOMIC,required_matrix,0.0,0,True,117.48650529200677,1,1,0.041666666666666664
m2_macos__py_stats__branch__r02,M2_MACOS,PY_STATS,BRANCH,required_matrix,0.0,0,True,162.48695433302782,1,1,0.041666666666666664
m2_macos__py_stats__cache__r02,M2_MACOS,PY_STATS,CACHE,required_matrix,0.0,0,True,127.486948958016,1,1,0.041666666666666664
m2_macos__py_stats__controlled_crash__r02,M2_MACOS,PY_STATS,CONTROLLED_CRASH,required_matrix,0.0,0,False,,0,0,0.0
m2_macos__py_stats__degradation_proxy__r02,M2_MACOS,PY_STATS,DEGRADATION_PROXY,targeted_extension,0.0,0,True,577.4873141249409,1,1,0.034722222222222224
m2_macos__py_stats__membw__r02,M2_MACOS,PY_STATS,MEMBW,required_matrix,0.0,0,True,142.48717020801269,1,1,0.041666666666666664
m2_macos__py_stats__power_shift__r02,M2_MACOS,PY_STATS,POWER_SHIFT,targeted_extension,0.0,0,True,137.4871503750328,1,1,0.041666666666666664
m2_macos__py_stats__telemetry_interruption__r02,M2_MACOS,PY_STATS,TELEMETRY_INTERRUPTION,required_matrix,0.0,0,False,,0,0,0.0
