C,threshold,residual_alpha,confirmation_blocks,false_alerts,benign_hours,fah,detected,event_runs,detection,telemetry_fault_identification_rate,strict_inner_g3,violation_distance
0.01,6.1092475827643655,0.05,12,10,19.733333333333338,0.5067567567567567,44,60,0.7333333333333333,1.0,False,3.0810810810810807
0.01,6.1092475827643655,0.075,6,9,19.733333333333338,0.456081081081081,43,60,0.7166666666666667,1.0,False,2.472972972972972
0.01,6.1092475827643655,0.075,12,10,19.733333333333338,0.5067567567567567,44,60,0.7333333333333333,1.0,False,3.0810810810810807
0.01,6.1092475827643655,0.1,6,9,19.733333333333338,0.456081081081081,43,60,0.7166666666666667,1.0,False,2.472972972972972
0.01,6.1092475827643655,0.1,12,10,19.733333333333338,0.5067567567567567,44,60,0.7333333333333333,1.0,False,3.0810810810810807
0.01,6.214608098422191,0.025,6,8,19.733333333333338,0.4054054054054053,37,60,0.6166666666666667,1.0,False,2.0540540540540535
0.01,6.214608098422191,0.025,12,10,19.733333333333338,0.5067567567567567,40,60,0.6666666666666666,1.0,False,3.0810810810810807
0.01,6.214608098422191,0.05,6,9,19.733333333333338,0.456081081081081,41,60,0.6833333333333333,1.0,False,2.472972972972973
0.01,6.214608098422191,0.05,12,10,19.733333333333338,0.5067567567567567,43,60,0.7166666666666667,1.0,False,3.0810810810810807
0.01,6.214608098422191,0.075,6,10,19.733333333333338,0.5067567567567567,42,60,0.7,1.0,False,3.0810810810810807
0.01,6.214608098422191,0.075,12,10,19.733333333333338,0.5067567567567567,43,60,0.7166666666666667,1.0,False,3.0810810810810807
0.01,6.214608098422191,0.1,6,10,19.733333333333338,0.5067567567567567,42,60,0.7,1.0,False,3.0810810810810807
0.01,6.214608098422191,0.1,12,10,19.733333333333338,0.5067567567567567,43,60,0.7166666666666667,1.0,False,3.0810810810810807
0.01,6.396929655216146,0.025,6,10,19.733333333333338,0.5067567567567567,37,60,0.6166666666666667,1.0,False,3.0810810810810807
0.01,6.396929655216146,0.025,12,10,19.733333333333338,0.5067567567567567,40,60,0.6666666666666666,1.0,False,3.0810810810810807
0.01,6.396929655216146,0.05,6,10,19.733333333333338,0.5067567567567567,40,60,0.6666666666666666,1.0,False,3.0810810810810807
