C,threshold,consecutive,false_alerts,benign_hours,fah,detected,runs,detection,ttd,telemetry_fault_identification_rate
0.003,0.85,3,27,7.466666666666667,3.6160714285714284,89,120,0.7416666666666667,17.498149074148387,1.0
0.003,0.85,4,15,7.466666666666667,2.008928571428571,82,120,0.6833333333333333,22.49823000386823,1.0
0.003,0.85,5,13,7.466666666666667,1.7410714285714286,79,120,0.6583333333333333,27.49842630303465,1.0
0.003,0.85,6,9,7.466666666666667,1.2053571428571428,76,120,0.6333333333333333,32.49823000386823,1.0
0.003,0.85,8,8,7.466666666666667,1.0714285714285714,70,120,0.5833333333333334,42.49814940802753,1.0
0.003,0.85,10,7,7.466666666666667,0.9375,63,120,0.525,52.4981276569888,1.0
0.003,0.85,12,6,7.466666666666667,0.8035714285714286,60,120,0.5,62.498099916032515,1.0
0.003,0.85,16,6,7.466666666666667,0.8035714285714286,57,120,0.475,82.49807217507623,1.0
0.003,0.85,20,6,7.466666666666667,0.8035714285714286,56,120,0.4666666666666667,102.49823000386823,1.0
0.003,0.85,22,5,7.466666666666667,0.6696428571428571,54,120,0.45,112.49813869944774,1.0
0.003,0.85,24,5,7.466666666666667,0.6696428571428571,51,120,0.425,122.4981276569888,1.0
0.003,0.85,26,4,7.466666666666667,0.5357142857142857,50,120,0.4166666666666667,132.49809991603252,1.0
0.003,0.85,28,4,7.466666666666667,0.5357142857142857,50,120,0.4166666666666667,142.49809991603252,1.0
0.003,0.85,30,4,7.466666666666667,0.5357142857142857,48,120,0.4,152.49809991603252,1.0
0.003,0.85,32,3,7.466666666666667,0.4017857142857143,47,120,0.39166666666666666,162.49807217507623,1.0
0.003,0.85,36,1,7.466666666666667,0.13392857142857142,46,120,0.38333333333333336,182.4980641346192,1.0
0.003,0.85,38,1,7.466666666666667,0.13392857142857142,45,120,0.375,192.49805609416217,1.0
0.003,0.85,40,1,7.466666666666667,0.13392857142857142,41,120,0.3416666666666667,202.49694989807904,1.0
0.003,0.85,42,1,7.466666666666667,0.13392857142857142,40,120,0.3333333333333333,212.4980641346192,1.0
0.003,0.85,44,1,7.466666666666667,0.13392857142857142,40,120,0.3333333333333333,222.4980641346192,1.0
